id	source_path	sheet	nrow	ncol	columns	categorical_counts	contains_target_numbers
f0017.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\conservative_full_replication_all_results.xlsx	input_manifest	23	5	role|path|exists|size_bytes|md5		FALSE
f0017.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\conservative_full_replication_all_results.xlsx	gse152_scores	695	15	sample_id|asthma|T2_high_historical|historical_endotype|historical_T2_score|historical_IFN_score|historical_repair_score|T2_score_vst_z|T2_high_vst_z_median|T2_score_log2raw|T2_high_log2raw_median|T2_score_log2cpm|T2_high_log2cpm_median|Repair_ECM_32_score|IFN_score	historical_endotype:E1_T2-high_IFN-low=327;E2_T2-low_low-repair=300;E3_IFN-high_repair-high=68	FALSE
f0017.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\conservative_full_replication_all_results.xlsx	pca118_cor	60	6	dataset|PC|variable|n|rho|p_value		FALSE
f0017.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\conservative_full_replication_all_results.xlsx	endotype_summary	3	7	endotype|n|T2_high_rate|asthma_rate|mean_T2_z|mean_IFN_z|mean_Repair_z	endotype:E1_T2_high_IFN_low=1;E2_T2_low_repair_low=1;E3_IFN_repair_high=1	FALSE
f0017.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\conservative_full_replication_all_results.xlsx	projection_summary	3	5	projected_endotype|n|atopy_rate|asthma_rate|wheeze_rate	projected_endotype:E1_T2_high_IFN_low=1;E2_T2_low_repair_low=1;E3_IFN_repair_high=1	FALSE
f0018.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\09_tables\conservative_full_replication_all_results.xlsx	input_manifest	23	5	role|path|exists|size_bytes|md5		FALSE
f0018.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\09_tables\conservative_full_replication_all_results.xlsx	gse152_scores	695	15	sample_id|asthma|T2_high_historical|historical_endotype|historical_T2_score|historical_IFN_score|historical_repair_score|T2_score_vst_z|T2_high_vst_z_median|T2_score_log2raw|T2_high_log2raw_median|T2_score_log2cpm|T2_high_log2cpm_median|Repair_ECM_32_score|IFN_score	historical_endotype:E1_T2-high_IFN-low=327;E2_T2-low_low-repair=300;E3_IFN-high_repair-high=68	FALSE
f0018.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\09_tables\conservative_full_replication_all_results.xlsx	pca118_cor	60	6	dataset|PC|variable|n|rho|p_value		FALSE
f0018.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\09_tables\conservative_full_replication_all_results.xlsx	endotype_summary	3	7	endotype|n|T2_high_rate|asthma_rate|mean_T2_z|mean_IFN_z|mean_Repair_z	endotype:E1_T2_high_IFN_low=1;E2_T2_low_repair_low=1;E3_IFN_repair_high=1	FALSE
f0018.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit\09_tables\conservative_full_replication_all_results.xlsx	projection_summary	3	5	projected_endotype|n|atopy_rate|asthma_rate|wheeze_rate	projected_endotype:E1_T2_high_IFN_low=1;E2_T2_low_repair_low=1;E3_IFN_repair_high=1	FALSE
f0019.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit_export\conservative_full_replication_all_results.xlsx	input_manifest	23	5	role|path|exists|size_bytes|md5		FALSE
f0019.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit_export\conservative_full_replication_all_results.xlsx	gse152_scores	695	15	sample_id|asthma|T2_high_historical|historical_endotype|historical_T2_score|historical_IFN_score|historical_repair_score|T2_score_vst_z|T2_high_vst_z_median|T2_score_log2raw|T2_high_log2raw_median|T2_score_log2cpm|T2_high_log2cpm_median|Repair_ECM_32_score|IFN_score	historical_endotype:E1_T2-high_IFN-low=327;E2_T2-low_low-repair=300;E3_IFN-high_repair-high=68	FALSE
f0019.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit_export\conservative_full_replication_all_results.xlsx	pca118_cor	60	6	dataset|PC|variable|n|rho|p_value		FALSE
f0019.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit_export\conservative_full_replication_all_results.xlsx	endotype_summary	3	7	endotype|n|T2_high_rate|asthma_rate|mean_T2_z|mean_IFN_z|mean_Repair_z	endotype:E1_T2_high_IFN_low=1;E2_T2_low_repair_low=1;E3_IFN_repair_high=1	FALSE
f0019.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\conservative_full_replication_audit_export\conservative_full_replication_all_results.xlsx	projection_summary	3	5	projected_endotype|n|atopy_rate|asthma_rate|wheeze_rate	projected_endotype:E1_T2_high_IFN_low=1;E2_T2_low_repair_low=1;E3_IFN_repair_high=1	FALSE
f0021.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\corrected_permutation_empirical_pvalues.xlsx	true_metrics	2	6	ECM_definition|delta_bootstrap_ARI|delta_silhouette|cross_definition_cluster_ARI|nasal_projection_assignment_margin|nasal_projection_low_confidence_rate	cross_definition_cluster_ARI:0.581070374577994=2 | nasal_projection_assignment_margin:0.78244972911427=1;0.842737344806396=1 | nasal_projection_low_confidence_rate:0=1;0.109090909090909=1	FALSE
f0022.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\corrected_projection_specificity.xlsx	projection_specificity	2	18	ECM_definition|metric|true_value|random_n|random_mean|random_sd|q2.5|q50|q97.5|empirical_p|monte_carlo_se|true_percentile|BH_FDR_external8|tissue|mean_assignment_margin|low_confidence_rate|random_median_low_confidence|projection_specificity_supported	projection_specificity_supported:FALSE=2	FALSE
f0022.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\corrected_projection_specificity.xlsx	real_projection_assignments	208	8	ECM_definition|tissue|sample_id|projected_cluster|nearest_distance|second_distance|assignment_margin|low_confidence	projected_cluster:3=79;1=75;2=54	FALSE
f0023.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\corrected_real_bootstrap_results.xlsx	full_metrics	4	8	model|mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|centroid_min_distance|min_cluster_size|cluster_collapse	min_cluster_size:58=1;64=1;68=1;74=1 | cluster_collapse:FALSE=4	FALSE
f0024.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\ECM_third_axis_corrected_rerun_full_results.xlsx	input_files	12	4	role|path|size_bytes|md5		FALSE
f0024.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\ECM_third_axis_corrected_rerun_full_results.xlsx	gene_coverage	6	5	cohort|ECM_definition|fixed_members|present|coverage		FALSE
f0024.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\ECM_third_axis_corrected_rerun_full_results.xlsx	full_cluster_metrics	4	8	model|mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|centroid_min_distance|min_cluster_size|cluster_collapse	min_cluster_size:58=1;64=1;68=1;74=1 | cluster_collapse:FALSE=4	FALSE
f0024.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\ECM_third_axis_corrected_rerun_full_results.xlsx	projection_specificity	2	18	ECM_definition|metric|true_value|random_n|random_mean|random_sd|q2.5|q50|q97.5|empirical_p|monte_carlo_se|true_percentile|BH_FDR_external8|tissue|mean_assignment_margin|low_confidence_rate|random_median_low_confidence|projection_specificity_supported	projection_specificity_supported:FALSE=2	FALSE
f0024.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\ECM_third_axis_corrected_rerun_full_results.xlsx	fair_models	36	16	dataset|tissue|ECM_definition|outcome|method|covariates|n|events|estimable|beta|SE|OR_per_SD|CI_low|CI_high|p_value|AIC		FALSE
f0024.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\ECM_third_axis_corrected_rerun_full_results.xlsx	fair_model_comparison	18	27	dataset|tissue|ECM_definition|outcome|n_mean_z|n_ssGSEA|events_mean_z|events_ssGSEA|beta_mean_z|beta_ssGSEA|SE_mean_z|SE_ssGSEA|OR_per_SD_mean_z|OR_per_SD_ssGSEA|CI_low_mean_z|CI_low_ssGSEA|CI_high_mean_z|CI_high_ssGSEA|p_value_mean_z|p_value_ssGSEA|AIC_mean_z|AIC_ssGSEA|same_n|same_events|direction_consistent|materially_consistent|beta_difference		FALSE
f0025.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\fair_mean_z_vs_ssGSEA_models.xlsx	models	36	16	dataset|tissue|ECM_definition|outcome|method|covariates|n|events|estimable|beta|SE|OR_per_SD|CI_low|CI_high|p_value|AIC		FALSE
