search_id	feature_set	max_depth	min_samples_leaf	criterion	class_weights	exact_match	TP	FP	FN	TN	final_n	overlap_n	false_negative_n	false_positive_n	false_negatives	false_positives	tree_depth	number_of_leaves	number_of_conditions	number_of_clauses	positive_path_conditions	unique_features_used
TREE025	EXCLUDE_P_FDR	5	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE037	EXCLUDE_P_FDR	6	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE049	EXCLUDE_P_FDR	7	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE061	EXCLUDE_P_FDR	8	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE073	EXCLUDE_P_FDR	9	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE085	EXCLUDE_P_FDR	10	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE039	EXCLUDE_P_FDR	6	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE051	EXCLUDE_P_FDR	7	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE063	EXCLUDE_P_FDR	8	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE075	EXCLUDE_P_FDR	9	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE087	EXCLUDE_P_FDR	10	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE076	EXCLUDE_P_FDR	9	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			9	14	13	5	28	13
TREE088	EXCLUDE_P_FDR	10	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			9	14	13	5	28	13
TREE086	EXCLUDE_P_FDR	10	1	gini	balanced	TRUE	32	0	0	83	32	32	0	0			10	17	16	5	32	14
TREE123	WITH_P_FDR	5	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE135	WITH_P_FDR	6	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE147	WITH_P_FDR	7	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE159	WITH_P_FDR	8	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE171	WITH_P_FDR	9	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE183	WITH_P_FDR	10	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE160	WITH_P_FDR	8	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			8	14	13	6	32	10
TREE172	WITH_P_FDR	9	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			8	14	13	6	32	10
TREE184	WITH_P_FDR	10	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			8	14	13	6	32	10
TREE145	WITH_P_FDR	7	1	gini	none	TRUE	32	0	0	83	32	32	0	0			7	16	15	7	32	12
TREE157	WITH_P_FDR	8	1	gini	none	TRUE	32	0	0	83	32	32	0	0			7	16	15	7	32	12
TREE169	WITH_P_FDR	9	1	gini	none	TRUE	32	0	0	83	32	32	0	0			7	16	15	7	32	12
TREE181	WITH_P_FDR	10	1	gini	none	TRUE	32	0	0	83	32	32	0	0			7	16	15	7	32	12
TREE170	WITH_P_FDR	9	1	gini	balanced	TRUE	32	0	0	83	32	32	0	0			9	17	16	7	41	12
TREE182	WITH_P_FDR	10	1	gini	balanced	TRUE	32	0	0	83	32	32	0	0			9	17	16	7	41	12
TREE004	EXCLUDE_P_FDR	3	1	entropy	balanced	FALSE	30	13	2	70	43	30	2	13	COL1A1;ITGB1	ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;TLL2	3	6	5	2	6	5
TREE008	EXCLUDE_P_FDR	3	2	entropy	balanced	FALSE	30	13	2	70	43	30	2	13	COL1A1;ITGB1	ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;TLL2	3	6	5	2	6	5
TREE012	EXCLUDE_P_FDR	3	3	entropy	balanced	FALSE	30	13	2	70	43	30	2	13	COL1A1;ITGB1	ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;TLL2	3	6	5	2	6	5
TREE001	EXCLUDE_P_FDR	3	1	gini	none	FALSE	26	3	6	80	29	26	6	3	COL8A1;ITGBL1;LAMA2;LAMC1;MMP13;THBS2	COL13A1;COL4A6;TLL2	3	7	6	4	11	6
TREE005	EXCLUDE_P_FDR	3	2	gini	none	FALSE	26	3	6	80	29	26	6	3	COL8A1;ITGBL1;LAMA2;LAMC1;MMP13;THBS2	COL13A1;COL4A6;TLL2	3	7	6	4	11	6
TREE003	EXCLUDE_P_FDR	3	1	entropy	none	FALSE	25	3	7	80	28	25	7	3	COL1A1;COL8A1;ITGB1;ITGBL1;LAMA2;MMP13;THBS2	COL13A1;COL4A6;TLL2	3	7	6	3	9	6
TREE007	EXCLUDE_P_FDR	3	2	entropy	none	FALSE	25	3	7	80	28	25	7	3	COL1A1;COL8A1;ITGB1;ITGBL1;LAMA2;MMP13;THBS2	COL13A1;COL4A6;TLL2	3	7	6	3	9	6
TREE011	EXCLUDE_P_FDR	3	3	entropy	none	FALSE	25	3	7	80	28	25	7	3	COL1A1;COL8A1;ITGB1;ITGBL1;LAMA2;MMP13;THBS2	COL13A1;COL4A6;TLL2	3	7	6	3	9	6
TREE009	EXCLUDE_P_FDR	3	3	gini	none	FALSE	26	5	6	78	31	26	6	5	COL1A1;COL8A1;ITGBL1;LAMA2;MMP13;THBS2	COL13A1;COL4A6;EXT1;PLOD3;TLL2	3	7	6	3	9	6
TREE002	EXCLUDE_P_FDR	3	1	gini	balanced	FALSE	32	15	0	68	47	32	0	15		ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;EXT1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;PLOD3;TLL2	3	7	6	3	9	6
TREE006	EXCLUDE_P_FDR	3	2	gini	balanced	FALSE	32	16	0	67	48	32	0	16		ADAMTS3;COL13A1;COMP;CYP1B1;DDR2;DPT;EMILIN1;EXT1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;PLOD3;TLL2	3	7	6	3	9	6
TREE010	EXCLUDE_P_FDR	3	3	gini	balanced	FALSE	32	17	0	66	49	32	0	17		ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;EXT1;FOXC1;GREM1;ITGA5;ITGB3;LAMB4;MMP14;MMP25;MMP28;PLOD3;TLL2	3	7	6	3	9	6
TREE022	EXCLUDE_P_FDR	4	3	gini	balanced	FALSE	32	17	0	66	49	32	0	17		ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;EXT1;FOXC1;GREM1;ITGA5;ITGB3;LAMB4;MMP14;MMP25;MMP28;PLOD3;TLL2	3	7	6	3	9	6
TREE016	EXCLUDE_P_FDR	4	1	entropy	balanced	FALSE	32	13	0	70	45	32	0	13		ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;TLL2	4	7	6	3	10	6
TREE020	EXCLUDE_P_FDR	4	2	entropy	balanced	FALSE	32	13	0	70	45	32	0	13		ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;TLL2	4	7	6	3	10	6
TREE024	EXCLUDE_P_FDR	4	3	entropy	balanced	FALSE	32	14	0	69	46	32	0	14		ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;EXT1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;TLL2	4	7	6	3	10	6
TREE023	EXCLUDE_P_FDR	4	3	entropy	none	FALSE	27	4	5	79	31	27	5	4	COL8A1;ITGBL1;LAMA2;MMP13;THBS2	COL13A1;COL4A6;EXT1;TLL2	4	8	7	4	13	7
TREE014	EXCLUDE_P_FDR	4	1	gini	balanced	FALSE	32	13	0	70	45	32	0	13		ADAMTS3;COL13A1;CYP1B1;DDR2;DPT;EMILIN1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;TLL2	4	8	7	3	10	7
TREE018	EXCLUDE_P_FDR	4	2	gini	balanced	FALSE	32	14	0	69	46	32	0	14		ADAMTS3;COL13A1;COMP;CYP1B1;DDR2;DPT;EMILIN1;FOXC1;GREM1;ITGB3;LAMB4;MMP25;MMP28;TLL2	4	8	7	3	10	7
