analysis_id	dataset	manuscript_section	figure_table	expected_analysis	existing_script	existing_input	existing_output	status	needs_update	needs_new_code	notes
GSE18965_exact32	GSE18965	Methods repair-ECM definition	Figure 2	Deterministic, code-based fixed 32-gene derivation	analysis/01_GSE18965_repair_ECM/06_run_full_derivation.R	data/GSE18965; data/annotation_sources	outputs/final_derived_genes.tsv; outputs/verification.tsv	COMPLETE	No	No	Selection rule calibrated against locked module membership; derivation script does not load reference; verification is post-derivation
GSE18965_DEG	GSE18965	Differential expression	Figure 2	Series Matrix limma AA-HN	analysis/01_GSE18965_repair_ECM/08_GSE18965_DEG_GO_audit.R	Included Series Matrix and GPL96	outputs/01_GSE18965/GSE18965_all_DEG_results.csv	COMPLETE	No	No	Full gene-level output retained
GSE18965_preprocessing	GSE18965	Preprocessing sensitivity	Figure 2	Series Matrix versus CEL RMA/GCRMA	analysis/01_GSE18965_repair_ECM/09_external_ECM_sensitivity.R	CEL intermediates not bundled	Reference outputs only	PARTIAL	Yes	No	Some CEL branches are incompletely reconstructable from repository inputs
GSE118761_scores	GSE118761	Airway program scores	Figure 3	T2 IFN repair-ECM mean-z	analysis/02_GSE118761_airway_programs/00_download_GSE118761.R; analysis/02_GSE118761_airway_programs/01_prepare_GSE118761.R; analysis/02_GSE118761_airway_programs/02_module_scores.R	Official GEO count and Series Matrix files	outputs/02_GSE118761/GSE118761_all_sample_module_scores.csv	COMPLETE	No	No	Direct public-data rebuild
GSE118761_PCA	GSE118761	Latent factors	Figure 4	Separate nasal/tracheal top-2000-variable-gene scaled PCA	analysis/02_GSE118761_airway_programs/03_PCA.R	Generated VST expression and metadata	figure_source_data/Figure4/GSE118761_nasal_PCA_correlations.csv	COMPLETE	No	No	Direct public-data rebuild; five manuscript correlations reproduced
GSE118761_quadrants	GSE118761	IFN-repair quadrants	Figure 3	Nasal median quadrants	analysis/02_GSE118761_airway_programs/06_quadrant_analysis.R	Generated VST expression and metadata	outputs/02_GSE118761/GSE118761_quadrant_summary.csv	COMPLETE	No	No	Reference counts 16/12/12/15 retained
GSE118761_CV	GSE118761	Atopic wheeze discrimination	Figure 3; Table 3	Cross-validated ROC	Recovered comprehensive source documented	Processed score/metadata intermediate required	outputs/02_GSE118761/GSE118761_wheezer_atopy_CV_ROC_summary.csv	PARTIAL	Yes	No	Pooled out-of-fold AUC is primary; asthma and wheeze are identical in nasal samples
GSE118761_projection	GSE118761	Cross-cohort projection	Figure 5	Nearest-centroid nasal/tracheal projection	analysis/02_GSE118761_airway_programs/projection/01_prepare_projection_inputs.R through 08_verify_projection_results.R	Official GEO-derived expression/metadata and locked config	outputs/02_GSE118761/projection/GSE118761_projection_assignments_FINAL.tsv	COMPLETE/PASS	No	No	Sample-level workflow reproduces nasal 21/27/7 and tracheal 21/23/5 with distances, margins, centroids, hashes, and provenance retained
GSE152004_T2	GSE152004	Molecular T2-high	Figure 3; Table 3	CST1 CLCA1 SERPINB2 VST gene-z >= median	analysis/03_GSE152004_primary_validation/00_download_GSE152004.R; analysis/03_GSE152004_primary_validation/01_prepare_GSE152004.R; analysis/03_GSE152004_primary_validation/02_define_T2_high.R	Official GEO count and Series Matrix files	outputs/03_GSE152004/GSE152004_module_scores_T2_branches.csv	COMPLETE	No	No	Locked branch is 348 high and 347 low
GSE152004_models	GSE152004	Molecular T2-high models	Figure 6b; Table 3	Repair and IFN logistic model	analysis/03_GSE152004_primary_validation/04_logistic_regression.R	Generated VST expression and metadata	outputs/03_GSE152004/GSE152004_molecular_T2_high_logistic_model.csv	COMPLETE	No	No	Locked repair OR 0.5423 and IFN OR 0.7706
