manuscript_location	result_description	dataset	figure_or_table	script	input	output	reproducible_YN	notes
Methods repair-ECM	Frozen 32-gene deterministic reconstruction	GSE18965	Figure 2	analysis/01_GSE18965_repair_ECM/06_run_full_derivation.R	data/GSE18965; data/annotation_sources	outputs/final_derived_genes.tsv	Yes	Directly rerunnable; verification is post-derivation only
Results differential expression	AA-HN full limma results	GSE18965	Figure 2	analysis/01_GSE18965_repair_ECM/08_GSE18965_DEG_GO_audit.R	Series Matrix and GPL96	outputs/01_GSE18965/GSE18965_all_DEG_results.csv	Yes	Primary default eBayes branch
Results airway programs	Nasal T2 IFN repair scores and quadrants	GSE118761	Figure 3	analysis/02_GSE118761_airway_programs/00_download_GSE118761.R; analysis/02_GSE118761_airway_programs/01_prepare_GSE118761.R; analysis/02_GSE118761_airway_programs/02_module_scores.R; analysis/02_GSE118761_airway_programs/06_quadrant_analysis.R	Official GEO count and Series Matrix files	outputs/02_GSE118761/GSE118761_quadrant_summary.csv	Yes	Direct public-data rebuild
Results latent factors	Independent tissue PCA	GSE118761	Figure 4	analysis/02_GSE118761_airway_programs/03_PCA.R	Official GEO-derived standardized expression and metadata	outputs/02_GSE118761/*PCA*; figure_source_data/Figure4/GSE118761_*PCA*	Yes	Historical Figure 4 PCA recipe recovered and tested; five locked correlations reproduced
Results latent factors	Independent cohort PCA	GSE152004	Figure 4	Retained canonical PCA source	Retained standardized inputs/source outputs	outputs/03_GSE152004/*PCA*; figure_source_data/Figure4/GSE152004_*PCA*	Conditional	Machine-readable source is complete; no new GSE152004 PCA redesign performed in this repair
Results epithelial states	Fixed k=3 E1/E2/E3 states	GSE152004	Figure 5	analysis/03_GSE152004_primary_validation/00_download_GSE152004.R; analysis/03_GSE152004_primary_validation/01_prepare_GSE152004.R; analysis/03_GSE152004_primary_validation/05_E1_E2_E3_clustering.R	Official GEO count and Series Matrix files	outputs/03_GSE152004/GSE152004_final_state_assignments.csv	Yes	Locked counts 338/299/58
Results projection	Nearest-centroid projection to nasal/tracheal samples	GSE118761; GSE152004	Figure 5f; Supplementary Table S9	analysis/02_GSE118761_airway_programs/projection/01_prepare_projection_inputs.R through 08_verify_projection_results.R	Official GEO-derived VST input; formal GSE152004 scores and assignments	outputs/02_GSE118761/projection/GSE118761_projection_assignments_FINAL.tsv	Yes	Final sample-level workflow; historical unreproduced aggregates archived and unused
Results molecular T2-high	Repair and IFN logistic model	GSE152004	Figure 6b; Table 3	analysis/03_GSE152004_primary_validation/00_download_GSE152004.R; analysis/03_GSE152004_primary_validation/01_prepare_GSE152004.R; analysis/03_GSE152004_primary_validation/04_logistic_regression.R	Official GEO count and Series Matrix files	outputs/03_GSE152004/GSE152004_molecular_T2_high_logistic_model.csv	Yes	Primary T2-high uses >= median and 348/347
Results multicollinearity	Pairwise correlations VIF condition number residualization	GSE152004; GSE118761	Supplementary Table S13	analysis/03_GSE152004_primary_validation/06_multicollinearity_and_residualization_recovered.R	Locked score files	outputs/03_GSE152004/Supplementary_Table_S13_multicollinearity_residualization.csv	Yes	Recovered formal diagnostic output
Results hospital cohort	Clinical T2 score models	Hospital	Figure 6a; Tables 1-3	analysis/06_hospital_cohort/model_specification.R	Protected patient-level input	outputs/06_hospital_templates	No	Code dictionary and synthetic schema are public
Supplement external ECM	Reactome/NABA overlap-excluded mean-z and official ssGSEA sensitivity	Multiple	Supplement	analysis/05_external_ECM_sensitivity/corrected_external_ECM_pipeline.R	Standardized matrices and locked random sets	outputs/05_external_ECM	Conditional	External definitions not used for derivation
