"figure_or_table","panel_or_section","dataset","analysis","source_script","source_output","publicly_reproducible","reason_if_not_publicly_reproducible"
"Figure 1","All panels","Study design; cohort information; analysis workflow","Overall study design and analytical workflow","docs/analysis_workflow.md","outputs/manuscript_locked/figure_previews/Figure1_final_locked.png","Yes","Workflow structure can be publicly provided and reproduced as documentation; this is not a single-dataset statistical rerun."
"Figure 2","All panels","GSE18965","repair-ECM audit; differential expression; external ECM definitions; preprocessing sensitivity","R/01_GSE18965_preprocessing.R; R/02_GSE18965_DEG_and_ECM_scores.R; R/05_sensitivity_analyses.R","outputs/manuscript_locked/figure_previews/Figure2_final_locked.png","Partly","Public data and recovered R code support the audit rerun; the historical 32-gene original selection pathway is incompletely reconstructable."
"Figure 3","All panels","GSE118761","Nasal repair-ECM/IFN scores; IFN-ECM quadrants; atopic versus non-atopic wheeze AUC","R/03_RNAseq_preprocessing.R; R/04_gene_set_scoring.R; R/06_tables_and_figures.R","outputs/manuscript_locked/figure_previews/Figure3_final_locked.png","Rerunnable only with required intermediate inputs","Recovered source code and reference outputs are provided; a complete rerun requires the intermediate standardized expression and metadata inputs listed in data_manifest/required_intermediate_inputs.csv."
"Figure 4","All panels","GSE152004 and GSE118761","Independent PCA and correlations with T2, IFN, repair-ECM, and clinical variables","R/03_RNAseq_preprocessing.R; R/04_gene_set_scoring.R; R/06_tables_and_figures.R","outputs/manuscript_locked/figure_previews/Figure4_final_locked.png","Rerunnable only with required intermediate inputs","Recovered source code and reference outputs are provided; a complete rerun requires the intermediate standardized expression and metadata inputs listed in data_manifest/required_intermediate_inputs.csv."
"Figure 5","All panels","GSE152004 and GSE118761","GSE152004 state clustering; stability; external ECM sensitivity; GSE118761 nasal/tracheal projection","R/05_sensitivity_analyses.R; R/06_tables_and_figures.R","outputs/manuscript_locked/figure_previews/Figure5_final_locked.png","Rerunnable only with required intermediate inputs","Recovered source code and reference outputs are provided; a complete rerun requires the intermediate standardized expression and metadata inputs listed in data_manifest/required_intermediate_inputs.csv."
"Figure 6","Figure 6a","Hospital clinical cohort","Protected hospital clinical cohort models","R/06_tables_and_figures.R","outputs/manuscript_locked/machine_readable_tables/manuscript_locked_reference_summary.csv","No","Requires protected individual-level clinical data; code, data dictionary, and synthetic input structure are provided."
"Figure 6","Figure 6b","GSE152004","Molecular T2-high logistic models","R/06_tables_and_figures.R","outputs/audit_reruns/machine_readable_tables/GSE152004_primary_T2_logistic_model.csv","Yes, subject to deposited metadata availability","Requires public transcriptomic data and phenotype metadata."
"Table 1","All sections","GSE18965; GSE118761; GSE152004; hospital clinical cohort","Characteristics and analytical roles of the study cohorts","docs/analysis_workflow.md","data_manifest/public_data_manifest.csv","Partly","Public cohort-level information is reproducible; protected hospital information is represented only as cohort-level/data-dictionary documentation."
"Table 2","All sections","Hospital clinical cohort","Baseline characteristics of the hospital cohort","R/06_tables_and_figures.R","outputs/manuscript_locked/machine_readable_tables/manuscript_locked_reference_summary.csv","No","Requires protected individual-level clinical data; code, data dictionary, and synthetic input structure are provided."
"Table 3","All sections","GSE118761; GSE152004; hospital clinical cohort","GSE118761 nasal atopy/asthma regression models; GSE152004 molecular T2-high model; hospital asthma, previous wheeze, frequent exacerbation, and exacerbation count models","R/03_RNAseq_preprocessing.R; R/04_gene_set_scoring.R; R/06_tables_and_figures.R","GSE118761 nasal atopy/asthma regression reference output described in Table 3; standalone source CSV unavailable; outputs/audit_reruns/machine_readable_tables/GSE152004_primary_T2_logistic_model.csv; outputs/audit_reruns/machine_readable_tables/hospital_primary_models.csv; outputs/audit_reruns/machine_readable_tables/hospital_count_models.csv","Partly","GSE118761/GSE152004 public transcriptomic components require deposited metadata and some intermediate inputs; hospital components require protected individual-level clinical data."
