file,term,found
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,344 / 286 / 65,FALSE
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,projected 9 / 31 / 15,FALSE
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,OR 2.85,FALSE
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,CI 1.81,FALSE
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,excluded the index event,FALSE
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,ever-wheeze,TRUE
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,Factor 6,FALSE
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,higher repair-ECM increased odds of molecular T2-high,FALSE
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,clinically validated endotypes,FALSE
01_source_inputs/manuscript/Response_to_Editor_and_Reviewers_completed.docx,formal external validation,FALSE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,344 / 286 / 65,FALSE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,projected 9 / 31 / 15,FALSE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,OR 2.85,FALSE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,CI 1.81,FALSE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,excluded the index event,FALSE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,ever-wheeze,TRUE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,Factor 6,TRUE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,higher repair-ECM increased odds of molecular T2-high,FALSE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,clinically validated endotypes,FALSE
01_source_inputs/manuscript/Revised manuscript-Track Changes.docx,formal external validation,TRUE
01_source_inputs/fig/table - supplement.docx,344 / 286 / 65,FALSE
01_source_inputs/fig/table - supplement.docx,projected 9 / 31 / 15,FALSE
01_source_inputs/fig/table - supplement.docx,OR 2.85,FALSE
01_source_inputs/fig/table - supplement.docx,CI 1.81,FALSE
01_source_inputs/fig/table - supplement.docx,excluded the index event,FALSE
01_source_inputs/fig/table - supplement.docx,ever-wheeze,FALSE
01_source_inputs/fig/table - supplement.docx,Factor 6,FALSE
01_source_inputs/fig/table - supplement.docx,higher repair-ECM increased odds of molecular T2-high,FALSE
01_source_inputs/fig/table - supplement.docx,clinically validated endotypes,FALSE
01_source_inputs/fig/table - supplement.docx,formal external validation,FALSE
01_source_inputs/fig/table.docx,344 / 286 / 65,FALSE
01_source_inputs/fig/table.docx,projected 9 / 31 / 15,FALSE
01_source_inputs/fig/table.docx,OR 2.85,FALSE
01_source_inputs/fig/table.docx,CI 1.81,FALSE
01_source_inputs/fig/table.docx,excluded the index event,FALSE
01_source_inputs/fig/table.docx,ever-wheeze,FALSE
01_source_inputs/fig/table.docx,Factor 6,FALSE
01_source_inputs/fig/table.docx,higher repair-ECM increased odds of molecular T2-high,FALSE
01_source_inputs/fig/table.docx,clinically validated endotypes,FALSE
01_source_inputs/fig/table.docx,formal external validation,FALSE
